hour,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales
2017-01-05 16:00:00,2,59.900,0.000,0.000,59.900,7.990,0.000,67.890
2017-01-05 17:00:00,7,244.650,0.000,0.000,244.650,0.000,0.000,244.650
2017-01-05 18:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-05 19:00:00,6,229.700,0.000,0.000,229.700,0.000,0.000,229.700
2017-01-05 20:00:00,2,69.900,0.000,0.000,69.900,0.000,0.000,69.900
2017-01-05 21:00:00,3,104.850,-8.730,0.000,96.120,0.000,0.000,96.120
2017-01-05 22:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-05 23:00:00,2,69.900,0.000,0.000,69.900,0.000,0.000,69.900
2017-01-06 00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-06 01:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-06 02:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-06 03:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-06 04:00:00,2,49.900,0.000,0.000,49.900,0.000,0.000,49.900
2017-01-06 05:00:00,4,149.800,0.000,0.000,149.800,10.990,0.000,160.790
2017-01-06 06:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-06 07:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-06 08:00:00,4,139.800,0.000,0.000,139.800,0.000,0.000,139.800
2017-01-06 09:00:00,3,204.550,0.000,-24.950,179.600,0.000,0.000,179.600
2017-01-06 10:00:00,4,129.800,0.000,0.000,129.800,0.000,0.000,129.800
2017-01-06 11:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-06 12:00:00,3,94.850,0.000,0.000,94.850,0.000,0.000,94.850
2017-01-06 13:00:00,5,184.750,0.000,0.000,184.750,0.000,0.000,184.750
2017-01-06 14:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-06 15:00:00,3,134.850,0.000,0.000,134.850,0.000,0.000,134.850
2017-01-06 16:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-06 17:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-06 18:00:00,2,59.900,0.000,0.000,59.900,0.000,0.000,59.900
2017-01-06 19:00:00,3,94.850,0.000,-44.950,49.900,0.000,0.000,49.900
2017-01-06 20:00:00,2,69.900,-8.730,0.000,61.170,0.000,0.000,61.170
2017-01-06 21:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-06 22:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-06 23:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-07 00:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-07 01:00:00,1,39.900,0.000,0.000,39.900,0.000,0.000,39.900
2017-01-07 02:00:00,1,44.950,0.000,0.000,44.950,0.000,0.000,44.950
